H,S,V,class
11,114,101,branco
12,116,97,branco
13,117,98,branco
13,129,95,branco
12,126,103,branco
11,132,106,branco
11,141,107,branco
11,148,119,branco
12,162,115,branco
12,156,113,branco
12,178,109,branco
12,179,108,branco
8,142,72,branco
8,146,70,branco
11,153,90,branco
9,137,97,branco
11,113,102,branco
15,112,98,branco
13,128,96,branco
12,133,102,branco
13,160,113,branco
12,163,116,branco
9,154,93,branco
8,140,73,branco
8,144,71,branco
11,149,77,branco
10,166,86,branco
10,188,92,branco
12,114,98,branco
10,121,99,branco
13,120,96,branco
12,134,101,branco
11,138,109,branco
13,159,114,branco
13,162,112,branco
13,157,115,branco
12,167,116,branco
12,170,114,branco
12,181,107,branco
8,156,95,branco
8,146,75,branco
11,147,78,branco
10,154,83,branco
10,168,85,branco
10,139,101,branco
9,130,88,branco
11,116,99,branco
10,112,96,branco
11,121,95,branco
13,125,92,branco
12,129,91,branco
11,129,103,branco
11,140,100,branco
10,130,110,branco
11,145,118,branco
12,159,117,branco
12,161,117,branco
12,172,110,branco
12,176,107,branco
11,155,117,branco
13,162,101,branco
8,152,77,branco
7,146,77,branco
6,143,75,branco
6,135,72,branco
10,139,103,branco
12,118,99,branco
11,122,86,branco
12,106,106,branco
12,98,114,branco
12,100,110,branco
11,143,84,branco
13,129,97,branco
11,134,105,branco
12,172,89,branco
12,159,96,branco
12,142,113,branco
11,146,117,branco
11,150,114,branco
13,152,114,branco
12,180,105,branco
9,161,95,branco
7,144,78,branco
6,142,77,branco
6,145,74,branco
10,189,89,branco
11,143,93,branco
11,140,89,branco
11,133,90,branco
11,120,96,branco
12,123,95,branco
12,120,83,branco
12,101,111,branco
11,144,83,branco
11,126,95,branco
12,137,95,branco
12,138,94,branco
11,136,103,branco
12,151,96,branco
12,151,101,branco
11,138,113,branco
7,142,79,branco
6,144,76,branco
6,148,74,branco
9,153,80,branco
9,164,109,branco
11,141,94,branco
11,147,90,branco
12,146,89,branco
11,122,98,branco
12,120,98,branco
11,139,86,branco
